command,build_tool,count
make,Default,101
tclsh,Default,227
mksourceid,Default,101
rm,Default,203
mkdir,Default,101
cp,Default,311
mv,Default,101
touch,Default,101
gcc,Default,10304
cc1,Default,10304
as,Default,10304
ar,Default,101
ranlib,Default,101
collect2,Default,103
ld,Default,103
cat,Default,5
mkkeywordhash,Default,1
lemon,Default,3
tclsh,Riker,224
mksourceid,Riker,101
cp,Riker,208
cc1,Riker,8209
as,Riker,551
rm,Riker,103
ar,Riker,101
ranlib,Riker,101
ld,Riker,104
cat,Riker,5
rkr,Riker,1
Rikerfile,Riker,1
make,Riker,3
gcc,Riker,105
collect2,Riker,4
sh,Riker,6
mkkeywordhash,Riker,1
lemon,Riker,3
mkdir,Riker,1
mv,Riker,1
touch,Riker,1
